"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"212","D.J. Montgomery (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"213","Spencer Schnell (FA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.1%"
"214","Malik Henry (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"215","Derrick Dillon (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"216","Travis Jonsen (TB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"217","Malik Taylor (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"218","Manasseh Bailey (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"219","Kabion Ento (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"220","Joe Fortson (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"221","Rysen John (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"222","Alex Bachman (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"223","Isaiah Zuber (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"224","Scotty Washington (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"225","Jalen Guyton (LAC)","0","2","0","0","0","0","0","0","0","0","0","3","0.0","0.0","0.6%"
"226","Jaylon Moore (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"227","Tyler Simmons (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"228","Nsimba Webster (SF)","0","0","0","0","0","0","0","0","0","0","0","5","0.0","0.0","0.0%"
"229","Kristian Wilkerson (NE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"230","Kendall Hinton (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"231","Thomas Ives (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"232","Nick Westbrook-Ikhine (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"233","Quartney Davis (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"234","Cody White (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"235","Tarik Black (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"236","Tyler Vaughns (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"237","Marquez Callaway (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.9%"
"238","Easop Winston Jr. (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"239","Van Jefferson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2.3%"
"240","Joe Reed (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"241","Lynn Bowden Jr. (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.7%"
"242","Kalija Lipscomb (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"243","Gabriel Davis (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6.4%"
"244","Quintez Cephus (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.4%"
"245","James Proche (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"246","Juwan Johnson (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"247","Dezmon Patmon (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"248","Antonio Gandy-Golden (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.3%"
"249","Freddie Swain (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"250","Quez Watkins (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"251","K.J. Osborn (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"252","Aaron Parker (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"253","Chris Finke (KC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"254","Mason Kinsey (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"255","Lawrence Cager (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"256","Austin Mack (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"257","Tyrie Cleveland (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"258","Ja'Marcus Bradley (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"259","Trishton Jackson (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"260","Omar Bayless (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"261","Stephen Sullivan (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"262","Binjimen Victor (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"263","Isaiah Wright (WAS)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"264","Jauan Jennings (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"265","Denzel Mims (NYJ)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3.5%"
"266","K.J. Hill Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"267","Isaiah Coulter (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"268","Kirk Merritt (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"269","Ja'Marr Chase (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","92.1%"
"270","Jaylen Waddle (MIA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","79.1%"
