"Rank","Player","ATT","YDS","Y/A","LG","20+","TD","REC","TGT","YDS","Y/R","TD","FL","G","FPTS","FPTS/G","OWN"
"141","Bo Scarbrough (FA)","6","31","5.2","12","0","0","0","0","0","0","0","0","1","3.1","3.1","0.0%"
"142","Andy Janovich (CLE)","2","4","2.0","2","0","0","2","5","13","6.5","0","0","14","2.7","0.2","0.1%"
"143","Jonathan Williams (WAS)","1","5","5.0","5","0","0","4","4","21","5.3","0","1","5","2.6","0.5","0.0%"
"144","Jason Huntley (PHI)","5","19","3.8","10","0","0","1","2","0","0.0","0","0","5","2.4","0.5","0.0%"
"145","Rico Dowdle (DAL)","7","24","3.4","7","0","0","0","0","0","0","0","0","15","2.4","0.2","0.1%"
"146","LeVante Bellamy (DEN)","4","11","2.8","8","0","0","1","1","5","5.0","0","0","5","2.1","0.4","0.0%"
"147","Scottie Phillips (HOU)","2","9","4.5","5","0","0","1","1","7","7.0","0","0","8","2.1","0.3","0.0%"
"148","Chandler Cox (FA)","0","0","0","0","0","0","2","2","9","4.5","0","0","8","1.9","0.2","0.0%"
"149","Lamar Miller (WAS)","0","0","0","0","0","0","2","2","6","3.0","0","0","1","1.6","1.6","0.2%"
"150","Dwayne Washington (NO)","8","15","1.9","5","0","0","0","0","0","0","0","0","11","1.5","0.1","0.0%"
"151","D.J. Foster (FA)","2","2","1.0","2","0","0","1","1","7","7.0","0","0","10","1.4","0.1","0.0%"
"152","Tony Jones Jr. (NO)","3","13","4.3","6","0","0","0","0","0","0","0","0","1","1.3","1.3","0.0%"
"153","Gabe Nabers (LAC)","2","7","3.5","4","0","0","5","7","25","5.0","2","0","16","1.3","0.1","0.0%"
"154","Craig Reynolds (FA)","1","4","4.0","4","0","0","1","1","3","3.0","0","0","2","1.2","0.6","0.0%"
"155","Cullen Gillaspia (NYG)","0","0","0","0","0","0","1","1","6","6.0","0","0","7","1.1","0.2","0.0%"
"156","Senorise Perry (FA)","2","9","4.5","6","0","0","0","0","0","0","0","0","7","0.9","0.1","0.0%"
"157","Dexter Williams (GB)","2","8","4.0","5","0","0","0","0","0","0","0","0","3","0.8","0.3","0.2%"
"158","Tony Brooks-James (PIT)","3","4","1.3","4","0","0","0","0","0","0","0","0","1","0.4","0.4","0.0%"
"159","Qadree Ollison (ATL)","1","3","3.0","3","0","0","0","0","0","0","0","0","3","0.3","0.1","1.3%"
"160","Mikey Daniel (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"161","Nathan Cottrell (JAC)","0","0","0","0","0","0","0","0","0","0","0","0","8","0.0","0.0","0.0%"
"162","Josh Hokit (SF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"163","Darius Bradwell (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
"164","Benny LeMay (IND)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"165","Xavier Jones (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","13","0.0","0.0","3.4%"
"166","Larry Rountree III (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.8%"
"167","Jermar Jefferson (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
"168","Pooka Williams Jr. (CIN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"169","Patrick Taylor Jr. (GB)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"170","Sandro Platzgummer (NYG)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"171","Malcolm Perry (MIA)","3","5","1.7","6","0","0","9","13","92","10.2","1","0","9","0.0","0.0","0.0%"
"172","Mekhi Sargent (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"173","Chuba Hubbard (CAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7.6%"
"174","Demetric Felton (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"175","Cameron Scarlett (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"176","Raymond Calais (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","4","0.0","0.0","0.4%"
"177","Trey Ragas (LV)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"178","Ty'Son Williams (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"179","Jake Bargas (MIN)","0","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"180","Sewo Olonilua (DAL)","0","0","0","0","0","0","0","0","0","0","0","0","2","0.0","0.0","0.0%"
