"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","OWN"
"96","Drew Sample (CIN)","5","6","30","6.0","21","1","0","0","0","0","0","9","5.5","0.6","0.3%"
"97","Ross Travis (ARI)","4","6","51","12.8","25","1","0","0","0","0","1","3","5.1","1.7","0.0%"
"98","Johnny Mundt (LAR)","4","7","26","6.5","9","0","0","0","0","0","0","14","4.6","0.3","0.0%"
"99","Pharaoh Brown (HOU)","2","3","27","13.5","18","0","0","0","0","0","0","9","3.7","0.4","0.0%"
"100","Tanner Hudson (TB)","2","5","26","13.0","14","0","0","0","0","0","0","9","3.6","0.4","0.0%"
"101","Codey McElroy (TB)","1","1","30","30.0","30","1","0","0","0","0","0","1","3.5","3.5","0.0%"
"102","Eric Saubert (DEN)","2","3","21","10.5","11","0","0","0","0","0","0","2","3.1","1.6","0.0%"
"103","Josh Oliver (BAL)","3","6","15","5.0","6","0","0","0","0","0","0","4","3.0","0.8","0.1%"
"104","Isaac Nauta (GB)","2","3","13","6.5","10","0","0","0","0","0","0","6","2.3","0.4","0.0%"
"105","Scott Simonson (FA)","2","2","11","5.5","10","0","0","0","0","0","0","6","2.1","0.4","0.0%"
"106","Levine Toilolo (NYG)","2","2","10","5.0","8","0","0","0","0","0","0","13","2.0","0.2","0.0%"
"107","Sean Culkin (FA)","1","2","12","12.0","12","0","0","0","0","0","0","4","1.7","0.4","0.0%"
"108","Chris Manhertz (JAC)","1","1","11","11.0","11","0","0","0","0","0","0","15","1.6","0.1","0.0%"
"109","Antony Auclair (HOU)","1","3","11","11.0","11","0","0","0","0","0","0","8","1.6","0.2","0.0%"
"110","Ben Koyack (FA)","1","3","9","9.0","9","0","0","0","0","0","0","12","1.4","0.1","0.0%"
"111","Jordan Thomas (IND)","1","3","8","8.0","8","0","0","0","0","0","0","6","1.3","0.2","0.0%"
"112","Chris Herndon IV (NYJ)","1","2","7","7.0","7","0","0","0","0","0","0","2","1.2","0.6","1.7%"
"113","Dalton Schultz (DAL)","1","2","6","6.0","6","0","0","0","0","0","0","16","1.1","0.1","1.6%"
"114","Charles Jones (FA)","1","1","5","5.0","5","0","0","0","0","0","0","4","1.0","0.3","0.0%"
"115","Tyrone Swoopes (WAS)","1","1","5","5.0","5","0","0","0","0","0","0","6","1.0","0.2","0.0%"
"116","Zach Gentry (PIT)","1","1","4","4.0","4","0","0","0","0","0","0","4","0.9","0.2","0.0%"
"117","Darrell Daniels (ARI)","1","3","4","4.0","4","0","0","0","0","0","0","11","0.9","0.1","0.1%"
"118","Xavier Grimble (BAL)","1","3","3","3.0","3","0","0","0","0","0","0","3","0.8","0.3","0.0%"
"119","Eric Tomlinson (BAL)","1","1","1","1.0","1","0","0","0","0","0","0","8","0.6","0.1","0.0%"
"120","Nate Becker (BUF)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"121","Donald Parham Jr. (LAC)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.5%"
"122","Jace Sternberger (GB)","0","1","0","0","0","0","0","0","0","0","0","6","0.0","0.0","0.1%"
"123","Kendall Blanton (LAR)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"124","Dax Raymond (PIT)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"125","Jakob Johnson (NE)","1","2","5","5.0","5","0","0","0","0","0","0","4","0.0","0.0","0.0%"
"126","Austin Fort (DEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"127","Kahale Warring (HOU)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"128","Caleb Wilson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"129","Carson Meier (MIA)","0","0","0","0","0","0","0","0","0","0","0","1","0.0","0.0","0.0%"
"130","Alize Mack (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"131","Tyree Jackson (PHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"132","Adam Trautman (NO)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.8%"
"133","Cole Kmet (CHI)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","14.7%"
"134","Brycen Hopkins (LAR)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.2%"
"135","Hunter Bryant (DET)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"136","Jared Pinkney (TEN)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.0%"
"137","Jake Breeland (BAL)","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"138","Colby Parkinson (SEA)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1%"
"139","Harrison Bryant (CLE)","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.6%"
